nm,nd,speedup,ideal
10,5000,9.71016,10
10,5000,9.70862,10
10,5000,9.71101,10
10,5000,9.71608,10
10,5000,9.71339,10
10,5000,9.71482,10
10,5000,9.71185,10
10,5000,9.71864,10
10,5000,9.71306,10
10,5000,9.71553,10
