nm,nd,speedup,ideal
2,10000,15.9866,20
2,10000,15.9548,20
2,10000,15.9538,20
2,10000,15.9665,20
2,10000,15.9482,20
2,10000,15.9697,20
2,10000,15.9361,20
2,10000,15.9676,20
2,10000,15.9425,20
2,10000,15.9707,20
