nm,nd,speedup,ideal
20,10000,38.4304,40
20,10000,38.4121,40
20,10000,38.422,40
20,10000,38.411,40
20,10000,38.4175,40
20,10000,38.4014,40
20,10000,38.4099,40
20,10000,38.4052,40
20,10000,38.4217,40
20,10000,38.4105,40
