nm,nd,speedup,ideal
10,5000,19.261,20
10,5000,19.2666,20
10,5000,19.2635,20
10,5000,19.2602,20
10,5000,19.2661,20
10,5000,19.2667,20
10,5000,19.2659,20
10,5000,19.2617,20
10,5000,19.264,20
10,5000,19.2633,20
