nm,nd,speedup,ideal
20,5000,9.78114,10
20,5000,9.85223,10
20,5000,9.85248,10
20,5000,9.85273,10
20,5000,9.85323,10
20,5000,9.85335,10
20,5000,9.85217,10
20,5000,9.84359,10
20,5000,9.85829,10
20,5000,9.85486,10
