nm,nd,speedup,ideal
20,5000,74.7778,80
20,5000,74.7911,80
20,5000,74.8252,80
20,5000,74.8173,80
20,5000,74.7053,80
20,5000,74.7841,80
20,5000,74.7715,80
20,5000,74.8424,80
20,5000,74.7508,80
20,5000,74.825,80
