nm,nd,speedup,ideal
20,10000,19.5213,20
20,10000,19.5242,20
20,10000,19.5266,20
20,10000,19.5212,20
20,10000,19.5231,20
20,10000,19.5262,20
20,10000,19.5208,20
20,10000,19.5219,20
20,10000,19.5255,20
20,10000,19.5237,20
