nm,nd,speedup,ideal
2,20000,21.5871,40
2,20000,21.5429,40
2,20000,21.4701,40
2,20000,21.6163,40
2,20000,21.888,40
2,20000,21.5151,40
2,20000,21.4586,40
2,20000,21.4047,40
2,20000,21.5215,40
2,20000,21.5284,40
