nm,nd,speedup,ideal
20,10000,72.9594,80
20,10000,72.7009,80
20,10000,72.8817,80
20,10000,72.8115,80
20,10000,72.9015,80
20,10000,72.9101,80
20,10000,72.9391,80
20,10000,72.8815,80
20,10000,73.1257,80
20,10000,72.8542,80
