nm,nd,speedup,ideal
10,20000,9.55288,10
10,20000,9.54442,10
10,20000,9.5456,10
10,20000,9.54581,10
10,20000,9.55134,10
10,20000,9.54796,10
10,20000,9.54224,10
10,20000,9.54392,10
10,20000,9.55017,10
10,20000,9.54845,10
