nm,nd,speedup,ideal
20,10000,9.78679,10
20,10000,9.73601,10
20,10000,9.72188,10
20,10000,9.7465,10
20,10000,9.76178,10
20,10000,9.7638,10
20,10000,9.77034,10
20,10000,9.76609,10
20,10000,9.75626,10
20,10000,9.7582,10
