nm,nd,time_blocking,time_nonblocking
2,5000,10.03848822222222,1.8964778888888891
2,10000,8.005521888888888,1.5059562222222223
2,20000,8.027310111111111,2.0232756666666667
5,5000,8.023617555555555,1.4640903333333335
5,10000,7.841620111111112,1.0535855555555556
5,20000,8.014021444444445,1.498350111111111
10,5000,6.708601111111111,1.6925677777777777
10,10000,6.505887777777778,1.6725822222222222
10,20000,7.4492344444444445,1.73014
20,5000,7.078645555555556,3.284182222222222
20,10000,7.6480788888888895,3.2737711111111114
20,20000,7.123663333333334,3.2908455555555554
