nm,nd,time_blocking,time_nonblocking
2,5000,1.540518888888889,0.18331877777777777
2,10000,1.5653555555555556,0.21877433333333332
2,20000,1.5551755555555555,0.21050877777777777
5,5000,1.4809744444444446,0.4252157777777778
5,10000,1.4984477777777778,0.44891977777777775
5,20000,1.5200133333333332,0.4496137777777778
10,5000,1.3923833333333333,0.8240564444444445
10,10000,1.4020011111111113,0.8353222222222222
10,20000,1.3783866666666666,0.8574385555555555
20,5000,1.6409966666666667,1.620372222222222
20,10000,1.636531111111111,1.6312633333333335
20,20000,1.6401522222222225,1.6415566666666666
