srun: job 1941558 queued and waiting for resources
srun: job 1941558 has been allocated resources
cohort id: 33, age = 3, time = 0, year = 1979, month = 1, sum(density) = 45927.57
cohort id: 34, age = 2, time = 0, year = 1979, month = 1, sum(density) = 44603.841
cohort id: 7, age = 29, time = 0, year = 1979, month = 1, sum(density) = 201.0466
cohort id: 23, age = 13, time = 0, year = 1979, month = 1, sum(density) = 3507.7648
cohort id: 9, age = 27, time = 0, year = 1979, month = 1, sum(density) = 282.87142
cohort id: 2, age = 34, time = 0, year = 1979, month = 1, sum(density) = 60.39428
cohort id: 35, age = 1, time = 0, year = 1979, month = 1, sum(density) = 48012.732
cohort id: 12, age = 24, time = 0, year = 1979, month = 1, sum(density) = 405.66782
cohort id: 10, age = 26, time = 0, year = 1979, month = 1, sum(density) = 322.93039
cohort id: 15, age = 21, time = 0, year = 1979, month = 1, sum(density) = 847.46394
cohort id: 13, age = 23, time = 0, year = 1979, month = 1, sum(density) = 479.03087
cohort id: 17, age = 19, time = 0, year = 1979, month = 1, sum(density) = 1353.8844
cohort id: 26, age = 10, time = 0, year = 1979, month = 1, sum(density) = 6638.7066
cohort id: 0, age = 36, time = 0, year = 1979, month = 1, sum(density) = 271.60328
cohort id: 21, age = 15, time = 0, year = 1979, month = 1, sum(density) = 2780.3894
cohort id: 1, age = 35, time = 0, year = 1979, month = 1, sum(density) = 46.210427
cohort id: 34, age = 3, time = 1, year = 1979, month = 2, sum(density) = 44603.841
cohort id: 6, age = 30, time = 0, year = 1979, month = 1, sum(density) = 171.27496
cohort id: 3, age = 33, time = 0, year = 1979, month = 1, sum(density) = 84.108532
cohort id: 20, age = 16, time = 0, year = 1979, month = 1, sum(density) = 2295.8867
cohort id: 24, age = 12, time = 0, year = 1979, month = 1, sum(density) = 4153.804
cohort id: 5, age = 31, time = 0, year = 1979, month = 1, sum(density) = 143.2375
cohort id: 11, age = 25, time = 0, year = 1979, month = 1, sum(density) = 349.40602
cohort id: 18, age = 18, time = 0, year = 1979, month = 1, sum(density) = 1624.8213
cohort id: 25, age = 11, time = 0, year = 1979, month = 1, sum(density) = 5238.8756
cohort id: 32, age = 4, time = 0, year = 1979, month = 1, sum(density) = 29580.713
cohort id: 19, age = 17, time = 0, year = 1979, month = 1, sum(density) = 1935.1116
cohort id: 31, age = 5, time = 0, year = 1979, month = 1, sum(density) = 24359.593
cohort id: 27, age = 9, time = 0, year = 1979, month = 1, sum(density) = 9553.9529
cohort id: 16, age = 20, time = 0, year = 1979, month = 1, sum(density) = 1123.176
cohort id: 28, age = 8, time = 0, year = 1979, month = 1, sum(density) = 12264.932
cohort id: 29, age = 7, time = 0, year = 1979, month = 1, sum(density) = 15952.893
cohort id: 4, age = 32, time = 0, year = 1979, month = 1, sum(density) = 115.43321
cohort id: 8, age = 28, time = 0, year = 1979, month = 1, sum(density) = 237.11917
cohort id: 14, age = 22, time = 0, year = 1979, month = 1, sum(density) = 662.45647
cohort id: 22, age = 14, time = 0, year = 1979, month = 1, sum(density) = 3130.2552
cohort id: 35, age = 2, time = 1, year = 1979, month = 2, sum(density) = 37113.83
cohort id: 7, age = 30, time = 1, year = 1979, month = 2, sum(density) = 157.25378
cohort id: 30, age = 6, time = 0, year = 1979, month = 1, sum(density) = 19862.695
cohort id: 33, age = 4, time = 1, year = 1979, month = 2, sum(density) = 37215.675
cohort id: 2, age = 35, time = 1, year = 1979, month = 2, sum(density) = 45.676689
cohort id: 10, age = 27, time = 1, year = 1979, month = 2, sum(density) = 257.195
cohort id: 13, age = 24, time = 1, year = 1979, month = 2, sum(density) = 387.6969
cohort id: 23, age = 14, time = 1, year = 1979, month = 2, sum(density) = 2931.8286
cohort id: 9, age = 28, time = 1, year = 1979, month = 2, sum(density) = 223.98793
cohort id: 35, age = 3, time = 2, year = 1979, month = 3, sum(density) = 37113.83
cohort id: 11, age = 26, time = 1, year = 1979, month = 2, sum(density) = 279.84344
cohort id: 18, age = 19, time = 1, year = 1979, month = 2, sum(density) = 1342.9176
cohort id: 20, age = 17, time = 1, year = 1979, month = 2, sum(density) = 1908.6606
cohort id: 6, age = 31, time = 1, year = 1979, month = 2, sum(density) = 133.11168
cohort id: 3, age = 34, time = 1, year = 1979, month = 2, sum(density) = 64.060496
cohort id: 12, age = 25, time = 1, year = 1979, month = 2, sum(density) = 326.66004
cohort id: 24, age = 13, time = 1, year = 1979, month = 2, sum(density) = 3473.7779
cohort id: 16, age = 21, time = 1, year = 1979, month = 2, sum(density) = 921.46161
cohort id: 34, age = 4, time = 2, year = 1979, month = 3, sum(density) = 36147.24
cohort id: 17, age = 20, time = 1, year = 1979, month = 2, sum(density) = 1115.1091
cohort id: 21, age = 16, time = 1, year = 1979, month = 2, sum(density) = 2316.8257
cohort id: 4, age = 33, time = 1, year = 1979, month = 2, sum(density) = 88.526136
cohort id: 15, age = 22, time = 1, year = 1979, month = 2, sum(density) = 692.36364
cohort id: 26, age = 11, time = 1, year = 1979, month = 2, sum(density) = 5549.9116
cohort id: 8, age = 29, time = 1, year = 1979, month = 2, sum(density) = 186.62678
cohort id: 1, age = 36, time = 1, year = 1979, month = 2, sum(density) = 32.249646
cohort id: 32, age = 5, time = 1, year = 1979, month = 2, sum(density) = 24191.148
cohort id: 31, age = 6, time = 1, year = 1979, month = 2, sum(density) = 20052.907
cohort id: 5, age = 32, time = 1, year = 1979, month = 2, sum(density) = 110.59379
cohort id: 14, age = 23, time = 1, year = 1979, month = 2, sum(density) = 538.74558
cohort id: 25, age = 12, time = 1, year = 1979, month = 2, sum(density) = 4382.2079
cohort id: 27, age = 10, time = 1, year = 1979, month = 2, sum(density) = 7976.6532
cohort id: 7, age = 31, time = 2, year = 1979, month = 3, sum(density) = 122.21468
cohort id: 19, age = 18, time = 1, year = 1979, month = 2, sum(density) = 1604.474
cohort id: 22, age = 15, time = 1, year = 1979, month = 2, sum(density) = 2612.7931
cohort id: 28, age = 9, time = 1, year = 1979, month = 2, sum(density) = 10218.646
cohort id: 29, age = 8, time = 1, year = 1979, month = 2, sum(density) = 13252.038
cohort id: 9, age = 29, time = 2, year = 1979, month = 3, sum(density) = 176.29171
cohort id: 23, age = 15, time = 2, year = 1979, month = 3, sum(density) = 2447.1684
cohort id: 11, age = 27, time = 2, year = 1979, month = 3, sum(density) = 222.87878
cohort id: 30, age = 7, time = 1, year = 1979, month = 2, sum(density) = 16434.809
cohort id: 12, age = 26, time = 2, year = 1979, month = 3, sum(density) = 261.62592
cohort id: 3, age = 35, time = 2, year = 1979, month = 3, sum(density) = 48.449478
cohort id: 10, age = 28, time = 2, year = 1979, month = 3, sum(density) = 203.65639
cohort id: 13, age = 25, time = 2, year = 1979, month = 3, sum(density) = 312.1891
cohort id: 2, age = 36, time = 2, year = 1979, month = 3, sum(density) = 31.877147
cohort id: 33, age = 5, time = 2, year = 1979, month = 3, sum(density) = 30433.806
cohort id: 35, age = 4, time = 3, year = 1979, month = 4, sum(density) = 30083.75
cohort id: 17, age = 21, time = 2, year = 1979, month = 3, sum(density) = 914.84344
cohort id: 4, age = 34, time = 2, year = 1979, month = 3, sum(density) = 67.425123
cohort id: 15, age = 23, time = 2, year = 1979, month = 3, sum(density) = 563.06772
cohort id: 21, age = 17, time = 2, year = 1979, month = 3, sum(density) = 1926.0681
cohort id: 18, age = 20, time = 2, year = 1979, month = 3, sum(density) = 1106.0772
cohort id: 8, age = 30, time = 2, year = 1979, month = 3, sum(density) = 145.97494
cohort id: 20, age = 18, time = 2, year = 1979, month = 3, sum(density) = 1582.5439
cohort id: 24, age = 14, time = 2, year = 1979, month = 3, sum(density) = 2903.4458
cohort id: 34, age = 5, time = 3, year = 1979, month = 4, sum(density) = 29562.222
cohort id: 6, age = 32, time = 2, year = 1979, month = 3, sum(density) = 102.7756
cohort id: 14, age = 24, time = 2, year = 1979, month = 3, sum(density) = 436.02616
cohort id: 16, age = 22, time = 2, year = 1979, month = 3, sum(density) = 752.81906
cohort id: 5, age = 33, time = 2, year = 1979, month = 3, sum(density) = 84.814763
cohort id: 25, age = 13, time = 2, year = 1979, month = 3, sum(density) = 3664.7895
cohort id: 26, age = 12, time = 2, year = 1979, month = 3, sum(density) = 4642.3772
cohort id: 19, age = 19, time = 2, year = 1979, month = 3, sum(density) = 1326.1005
cohort id: 9, age = 30, time = 3, year = 1979, month = 4, sum(density) = 137.8911
cohort id: 32, age = 6, time = 2, year = 1979, month = 3, sum(density) = 19915.073
cohort id: 31, age = 7, time = 2, year = 1979, month = 3, sum(density) = 16592.621
cohort id: 7, age = 32, time = 3, year = 1979, month = 4, sum(density) = 94.361991
cohort id: 27, age = 11, time = 2, year = 1979, month = 3, sum(density) = 6668.4323
cohort id: 22, age = 16, time = 2, year = 1979, month = 3, sum(density) = 2177.1854
cohort id: 28, age = 10, time = 2, year = 1979, month = 3, sum(density) = 8531.6299
cohort id: 12, age = 27, time = 3, year = 1979, month = 4, sum(density) = 208.3696
cohort id: 29, age = 9, time = 2, year = 1979, month = 3, sum(density) = 11041.233
cohort id: 13, age = 26, time = 3, year = 1979, month = 4, sum(density) = 250.03597
cohort id: 10, age = 29, time = 3, year = 1979, month = 4, sum(density) = 160.28959
cohort id: 23, age = 16, time = 3, year = 1979, month = 4, sum(density) = 2039.1781
cohort id: 11, age = 28, time = 3, year = 1979, month = 4, sum(density) = 176.48371
cohort id: 4, age = 35, time = 3, year = 1979, month = 4, sum(density) = 50.994173
cohort id: 15, age = 24, time = 3, year = 1979, month = 4, sum(density) = 455.71094
cohort id: 20, age = 19, time = 3, year = 1979, month = 4, sum(density) = 1307.9753
cohort id: 36, age = 0, time = 0, year = 1979, month = 1, sum(density) = 51081.866
cohort id: 8, age = 31, time = 3, year = 1979, month = 4, sum(density) = 113.44898
cohort id: 18, age = 21, time = 3, year = 1979, month = 4, sum(density) = 907.43361
cohort id: 24, age = 15, time = 3, year = 1979, month = 4, sum(density) = 2423.4775
cohort id: 3, age = 36, time = 3, year = 1979, month = 4, sum(density) = 33.812236
cohort id: 30, age = 8, time = 2, year = 1979, month = 3, sum(density) = 13652.574
cohort id: 35, age = 5, time = 4, year = 1979, month = 5, sum(density) = 24605.963
cohort id: 26, age = 13, time = 3, year = 1979, month = 4, sum(density) = 3882.366
cohort id: 5, age = 34, time = 3, year = 1979, month = 4, sum(density) = 64.59839
cohort id: 6, age = 33, time = 3, year = 1979, month = 4, sum(density) = 78.818971
cohort id: 16, age = 23, time = 3, year = 1979, month = 4, sum(density) = 612.23335
cohort id: 33, age = 6, time = 3, year = 1979, month = 4, sum(density) = 25053.818
cohort id: 17, age = 22, time = 3, year = 1979, month = 4, sum(density) = 747.41195
cohort id: 21, age = 18, time = 3, year = 1979, month = 4, sum(density) = 1596.9765
cohort id: 9, age = 31, time = 4, year = 1979, month = 5, sum(density) = 107.16638
cohort id: 34, age = 6, time = 4, year = 1979, month = 5, sum(density) = 24337.247
cohort id: 7, age = 33, time = 4, year = 1979, month = 5, sum(density) = 72.366541
cohort id: 19, age = 20, time = 3, year = 1979, month = 4, sum(density) = 1092.2252
cohort id: 14, age = 25, time = 3, year = 1979, month = 4, sum(density) = 351.10562
cohort id: 22, age = 17, time = 3, year = 1979, month = 4, sum(density) = 1809.9796
cohort id: 25, age = 14, time = 3, year = 1979, month = 4, sum(density) = 3063.1123
cohort id: 27, age = 12, time = 3, year = 1979, month = 4, sum(density) = 5578.0001
cohort id: 11, age = 29, time = 4, year = 1979, month = 5, sum(density) = 138.90309
cohort id: 13, age = 27, time = 4, year = 1979, month = 5, sum(density) = 199.13889
cohort id: 36, age = 1, time = 1, year = 1979, month = 2, sum(density) = 35468.783
cohort id: 10, age = 30, time = 4, year = 1979, month = 5, sum(density) = 125.37463
cohort id: 31, age = 8, time = 3, year = 1979, month = 4, sum(density) = 13783.819
cohort id: 32, age = 7, time = 3, year = 1979, month = 4, sum(density) = 16478.855
cohort id: 23, age = 17, time = 4, year = 1979, month = 5, sum(density) = 1695.2487
cohort id: 28, age = 11, time = 3, year = 1979, month = 4, sum(density) = 7132.413
cohort id: 29, age = 10, time = 3, year = 1979, month = 4, sum(density) = 9218.5227
cohort id: 12, age = 28, time = 4, year = 1979, month = 5, sum(density) = 164.99488
cohort id: 5, age = 35, time = 4, year = 1979, month = 5, sum(density) = 48.856291
cohort id: 6, age = 34, time = 4, year = 1979, month = 5, sum(density) = 60.03175
cohort id: 16, age = 24, time = 4, year = 1979, month = 5, sum(density) = 495.50245
cohort id: 21, age = 19, time = 4, year = 1979, month = 5, sum(density) = 1319.9039
cohort id: 4, age = 36, time = 4, year = 1979, month = 5, sum(density) = 35.588146
cohort id: 20, age = 20, time = 4, year = 1979, month = 5, sum(density) = 1077.2971
cohort id: 24, age = 16, time = 4, year = 1979, month = 5, sum(density) = 2019.4452
cohort id: 17, age = 23, time = 4, year = 1979, month = 5, sum(density) = 607.836
cohort id: 18, age = 22, time = 4, year = 1979, month = 5, sum(density) = 741.35849
cohort id: 8, age = 32, time = 4, year = 1979, month = 5, sum(density) = 87.594014
cohort id: 26, age = 14, time = 4, year = 1979, month = 5, sum(density) = 3244.9583
cohort id: 7, age = 34, time = 5, year = 1979, month = 6, sum(density) = 55.117316
cohort id: 15, age = 25, time = 4, year = 1979, month = 5, sum(density) = 366.95625
cohort id: 30, age = 9, time = 3, year = 1979, month = 4, sum(density) = 11375.05
cohort id: 35, age = 6, time = 5, year = 1979, month = 6, sum(density) = 20258.135
cohort id: 36, age = 2, time = 2, year = 1979, month = 3, sum(density) = 27443.456
cohort id: 19, age = 21, time = 4, year = 1979, month = 5, sum(density) = 896.06938
cohort id: 14, age = 26, time = 4, year = 1979, month = 5, sum(density) = 281.20467
cohort id: 25, age = 15, time = 4, year = 1979, month = 5, sum(density) = 2556.7496
cohort id: 33, age = 7, time = 4, year = 1979, month = 5, sum(density) = 20730.677
cohort id: 9, age = 32, time = 5, year = 1979, month = 6, sum(density) = 82.743209
cohort id: 27, age = 13, time = 4, year = 1979, month = 5, sum(density) = 4664.8165
cohort id: 11, age = 30, time = 5, year = 1979, month = 6, sum(density) = 108.64663
cohort id: 34, age = 7, time = 5, year = 1979, month = 6, sum(density) = 20138.164
cohort id: 10, age = 31, time = 5, year = 1979, month = 6, sum(density) = 97.43881
cohort id: 12, age = 29, time = 5, year = 1979, month = 6, sum(density) = 129.8607
cohort id: 36, age = 3, time = 3, year = 1979, month = 4, sum(density) = 27443.456
cohort id: 13, age = 28, time = 5, year = 1979, month = 6, sum(density) = 157.68564
cohort id: 22, age = 18, time = 4, year = 1979, month = 5, sum(density) = 1500.7282
cohort id: 31, age = 9, time = 4, year = 1979, month = 5, sum(density) = 11484.4
cohort id: 20, age = 21, time = 5, year = 1979, month = 6, sum(density) = 883.82224
cohort id: 29, age = 11, time = 4, year = 1979, month = 5, sum(density) = 7706.7014
cohort id: 32, age = 8, time = 4, year = 1979, month = 5, sum(density) = 13689.367
cohort id: 6, age = 35, time = 5, year = 1979, month = 6, sum(density) = 45.402504
cohort id: 23, age = 18, time = 5, year = 1979, month = 6, sum(density) = 1405.6011
cohort id: 37, age = 0, time = 1, year = 1979, month = 2, sum(density) = 149520.45
cohort id: 18, age = 23, time = 5, year = 1979, month = 6, sum(density) = 602.91299
cohort id: 28, age = 12, time = 4, year = 1979, month = 5, sum(density) = 5966.118
cohort id: 17, age = 24, time = 5, year = 1979, month = 6, sum(density) = 491.94351
cohort id: 26, age = 15, time = 5, year = 1979, month = 6, sum(density) = 2708.5347
cohort id: 8, age = 33, time = 5, year = 1979, month = 6, sum(density) = 67.176156
cohort id: 24, age = 17, time = 5, year = 1979, month = 6, sum(density) = 1678.844
cohort id: 7, age = 35, time = 6, year = 1979, month = 7, sum(density) = 41.685677
cohort id: 15, age = 26, time = 5, year = 1979, month = 6, sum(density) = 293.89963
cohort id: 5, age = 36, time = 5, year = 1979, month = 6, sum(density) = 34.096147
cohort id: 14, age = 27, time = 5, year = 1979, month = 6, sum(density) = 223.96292
cohort id: 9, age = 33, time = 6, year = 1979, month = 7, sum(density) = 63.456057
cohort id: 21, age = 20, time = 5, year = 1979, month = 6, sum(density) = 1087.1217
cohort id: 11, age = 31, time = 6, year = 1979, month = 7, sum(density) = 84.438122
cohort id: 16, age = 25, time = 5, year = 1979, month = 6, sum(density) = 398.99815
cohort id: 35, age = 7, time = 6, year = 1979, month = 7, sum(density) = 16763.497
cohort id: 19, age = 22, time = 5, year = 1979, month = 6, sum(density) = 732.07396
cohort id: 12, age = 30, time = 6, year = 1979, month = 7, sum(density) = 101.57389
cohort id: 30, age = 10, time = 4, year = 1979, month = 5, sum(density) = 9497.2494
cohort id: 25, age = 16, time = 5, year = 1979, month = 6, sum(density) = 2130.5018
cohort id: 33, age = 8, time = 5, year = 1979, month = 6, sum(density) = 17221.291
cohort id: 13, age = 29, time = 6, year = 1979, month = 7, sum(density) = 124.1079
cohort id: 27, age = 14, time = 5, year = 1979, month = 6, sum(density) = 3898.936
cohort id: 34, age = 8, time = 6, year = 1979, month = 7, sum(density) = 16729.346
cohort id: 37, age = 1, time = 2, year = 1979, month = 3, sum(density) = 104369.27
cohort id: 22, age = 19, time = 5, year = 1979, month = 6, sum(density) = 1240.3545
cohort id: 18, age = 24, time = 6, year = 1979, month = 7, sum(density) = 487.95915
cohort id: 10, age = 32, time = 6, year = 1979, month = 7, sum(density) = 75.23254
cohort id: 36, age = 4, time = 4, year = 1979, month = 5, sum(density) = 22249.798
cohort id: 23, age = 19, time = 6, year = 1979, month = 7, sum(density) = 1161.7318
cohort id: 28, age = 13, time = 5, year = 1979, month = 6, sum(density) = 4989.395
cohort id: 8, age = 34, time = 6, year = 1979, month = 7, sum(density) = 51.164106
cohort id: 15, age = 27, time = 6, year = 1979, month = 7, sum(density) = 234.07371
cohort id: 31, age = 10, time = 5, year = 1979, month = 6, sum(density) = 9588.5323
cohort id: 20, age = 22, time = 6, year = 1979, month = 7, sum(density) = 722.06884
cohort id: 29, age = 12, time = 5, year = 1979, month = 6, sum(density) = 6446.5333
cohort id: 32, age = 9, time = 5, year = 1979, month = 6, sum(density) = 11405.717
cohort id: 21, age = 21, time = 6, year = 1979, month = 7, sum(density) = 891.88242
cohort id: 9, age = 34, time = 7, year = 1979, month = 8, sum(density) = 48.330727
cohort id: 16, age = 26, time = 6, year = 1979, month = 7, sum(density) = 319.56237
cohort id: 6, age = 36, time = 6, year = 1979, month = 7, sum(density) = 31.685791
cohort id: 26, age = 16, time = 6, year = 1979, month = 7, sum(density) = 2256.9802
cohort id: 24, age = 18, time = 6, year = 1979, month = 7, sum(density) = 1392.0037
cohort id: 17, age = 25, time = 6, year = 1979, month = 7, sum(density) = 396.13248
cohort id: 12, age = 31, time = 7, year = 1979, month = 8, sum(density) = 78.941322
cohort id: 7, age = 36, time = 7, year = 1979, month = 8, sum(density) = 29.091864
cohort id: 19, age = 23, time = 6, year = 1979, month = 7, sum(density) = 595.36231
cohort id: 11, age = 32, time = 7, year = 1979, month = 8, sum(density) = 65.19472
cohort id: 37, age = 2, time = 3, year = 1979, month = 4, sum(density) = 80872.652
cohort id: 13, age = 30, time = 7, year = 1979, month = 8, sum(density) = 97.074191
cohort id: 25, age = 17, time = 6, year = 1979, month = 7, sum(density) = 1771.1697
cohort id: 14, age = 28, time = 6, year = 1979, month = 7, sum(density) = 177.34215
cohort id: 27, age = 15, time = 6, year = 1979, month = 7, sum(density) = 3254.4034
cohort id: 35, age = 8, time = 7, year = 1979, month = 8, sum(density) = 13926.259
